time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
694300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
694989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
696998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
697557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
